ID,Hora de início,Hora de conclusão,Email,Nome,Hora da última modificação,Qual sua situação atual na área de tecnologia?,Qual é a sua principal formação atual?,Há quantos meses você estuda tecnologia ativamente? ,"De 1 a 5, qual o peso do DIPLOMA FACULDADE na sua contratação?","De 1 a 5, qual o peso de CURSOS EXTRAS/BOOTCAMPS na sua contratação?","Quantos projetos práticos você tem no seu portfólio (GitHub, Behance, etc.)","De 1 a 5, quanto você acredita que a IA aumentou a dificuldade de entrada?",Quantas vagas você já se candidatou nos últimos 3 meses?,Quantas entrevistas você conseguiu nos últimos 3 meses?,Você possui ou já possuiu um mentor na área?,"De 1 a 5, qual foi o impacto da mentoria na sua evolução?"
1,3/23/26 12:54:03,3/23/26 12:55:52,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",12,4,3,7,4,20,0,,1
2,3/23/26 12:54:46,3/23/26 12:56:28,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,3,4,0,2,0,0,,3
3,3/23/26 12:53:55,3/23/26 13:00:13,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",44,3,3,9,2,2,2,,1
4,3/23/26 13:00:54,3/23/26 13:02:05,anonymous,,,Formado (empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",36,1,1,75,4,0,0,,4
5,3/23/26 13:02:31,3/23/26 13:03:47,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",3,4,4,0,2,9,0,,3
6,3/23/26 13:01:14,3/23/26 13:04:43,anonymous,,,Estudante (buscando estágio/emprego),Autodidata (sem formação formal),2,5,2,1,4,1,1,,4
7,3/23/26 13:04:02,3/23/26 13:04:56,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",6,5,5,5,2,3,2,,5
8,3/23/26 13:08:53,3/23/26 13:11:22,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",42,4,4,6,3,0,0,,5
9,3/23/26 13:12:49,3/23/26 13:14:58,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,5,4,12,1,4,3,,5
10,3/23/26 13:39:33,3/23/26 13:41:04,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",48,3,2,2,4,0,2,,4
11,3/23/26 13:44:53,3/23/26 13:46:35,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,4,1,0,2,15,2,,3
12,3/23/26 13:49:23,3/23/26 13:51:21,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,5,3,2,1,0,0,,1
13,3/23/26 13:56:32,3/23/26 13:57:46,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",2,4,3,1,3,16,4,,1
14,3/23/26 14:04:43,3/23/26 14:08:32,anonymous,,,Formado (desempregado/buscando recolocação),Bootcamp / Curso Intensivo,36,2,3,4,3,5,1,,4
15,3/23/26 14:16:05,3/23/26 14:17:52,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,4,2,0,2,0,0,,1
16,3/23/26 14:21:54,3/23/26 14:23:43,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",30,4,2,10,3,20,0,,1
17,3/23/26 14:24:57,3/23/26 14:26:24,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,5,3,1,4,2,0,,1
18,3/23/26 14:37:33,3/23/26 14:39:16,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",15,2,1,2,4,10,1,,1
19,3/23/26 16:19:11,3/23/26 16:20:43,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",12,5,5,20,2,50,5,,5
20,3/23/26 17:35:48,3/23/26 17:36:49,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",4,1,4,2,1,0,0,,1
21,3/23/26 21:40:15,3/23/26 21:42:19,anonymous,,,Formado (empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",10,2,4,0,2,12,3,,1
22,3/23/26 21:40:29,3/23/26 21:42:46,anonymous,,,Formado (empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",10,5,3,2,3,7,2,,1
23,3/23/26 22:03:05,3/23/26 22:04:47,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",24,3,2,0,3,10,2,,1
24,3/24/26 16:02:39,3/24/26 16:03:53,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",24,1,1,46,3,20,1,,5
25,3/24/26 16:31:07,3/24/26 16:31:53,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",12,5,3,23,1,0,0,,5
26,3/24/26 16:28:23,3/24/26 16:32:37,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",1,5,5,3,5,2,2,,5
27,3/24/26 16:33:21,3/24/26 16:33:57,anonymous,,,Formado (empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",30,4,4,10,3,0,0,Não,1
28,3/24/26 16:46:40,3/24/26 16:48:43,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",14,4,4,5,3,5,7,Não,2
29,3/24/26 16:35:40,3/24/26 17:41:16,anonymous,,,Estudante (buscando estágio/emprego),Autodidata (sem formação formal),4,1,3,1,5,15,0,Não,1
30,3/24/26 17:42:19,3/24/26 17:43:41,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",14,4,4,6,4,35,4,Sim,4
31,3/24/26 17:44:10,3/24/26 17:45:00,anonymous,,,Estudante (buscando estágio/emprego),Bootcamp / Curso Intensivo,9,2,5,7,4,50,3,Sim,5
32,3/24/26 19:04:48,3/24/26 19:05:44,anonymous,,,Formado (empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",30,5,3,9,3,20,6,Não,2
33,3/24/26 19:05:52,3/24/26 19:06:27,anonymous,,,Estudante (já empregado na área),Misto (Faculdade + Bootcamp),20,3,5,10,3,18,6,Sim,5
34,3/24/26 19:06:39,3/24/26 19:07:53,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",6,3,4,3,4,20,2,Sim,3
35,3/24/26 19:07:59,3/24/26 19:08:36,anonymous,,,Estudante (já empregado na área),Autodidata (sem formação formal),24,1,5,12,2,10,5,Sim,5
36,3/24/26 19:08:43,3/24/26 19:09:17,anonymous,,,Estudante (já empregado na área),Misto (Faculdade + Bootcamp),16,4,5,8,3,22,6,Sim,4
37,3/24/26 19:10:13,3/24/26 19:10:45,anonymous,,,Estudante (buscando estágio/emprego),Autodidata (sem formação formal),3,1,2,0,5,10,0,Não,1
38,3/24/26 19:10:47,3/24/26 19:11:18,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",10,4,3,4,4,28,3,Não,2
39,3/24/26 19:11:20,3/24/26 19:11:48,anonymous,,,Estudante (buscando estágio/emprego),Bootcamp / Curso Intensivo,11,2,5,9,4,55,4,Sim,5
40,3/24/26 19:11:58,3/24/26 19:12:27,anonymous,,,Formado (empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",42,5,4,11,2,0,0,Sim,4
41,3/24/26 19:12:29,3/24/26 19:12:59,anonymous,,,Estudante (buscando estágio/emprego),Misto (Faculdade + Bootcamp),13,3,5,6,4,35,2,Sim,3
42,3/24/26 19:13:33,3/24/26 19:14:12,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",22,5,3,14,2,15,6,Sim,5
43,3/24/26 19:33:33,3/24/26 19:34:11,anonymous,,,Estudante (buscando estágio/emprego),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",6,3,4,10,4,10,3,Não,4
44,3/24/26 19:34:15,3/24/26 19:35:20,anonymous,,,Estudante (já empregado na área),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",13,4,5,5,4,9,1,Não,4
45,3/24/26 19:33:35,3/24/26 19:59:32,anonymous,,,Formado (desempregado/buscando recolocação),"Faculdade (Ciência da Computação, SI, Eng. Software, etc.)",50,4,3,20,5,80,10,Sim,3
